position,name,week_start,person_type
2,Володимир Зеленський,2023-03-13,enemy
3,Джо Байден,2023-03-13,enemy
4,Дмитро Пєсков,2023-03-13,russian
5,Марія Захарова,2023-03-13,russian
6,Сі Цзіньпін,2023-03-13,friend
7,Сергій Шойгу,2023-03-13,russian
8,Дональд Трамп,2023-03-13,friend
9,Андрій Марочко,2023-03-13,russian
10,Реджеп Ердоган,2023-03-13,friend
1,Володимир Путін,2023-03-20,russian
2,Володимир Зеленський,2023-03-20,enemy
3,Сі Цзіньпін,2023-03-20,friend
4,Джо Байден,2023-03-20,enemy
5,Дмитро Медведєв,2023-03-20,russian
6,Дмитро Пєсков,2023-03-20,russian
7,Михайло Мішустін,2023-03-20,russian
8,Марія Захарова,2023-03-20,russian
9,Сергій Шойгу,2023-03-20,russian
10,Реджеп Ердоган,2023-03-20,friend
1,Володимир Путін,2023-03-27,russian
2,Володимир Зеленський,2023-03-27,enemy
3,Джо Байден,2023-03-27,enemy
4,Дмитро Пєсков,2023-03-27,russian
5,Дональд Трамп,2023-03-27,friend
6,Олександр Лукашенко,2023-03-27,friend
7,Сі Цзіньпін,2023-03-27,friend
8,Сергій Лавров,2023-03-27,russian
9,Марія Захарова,2023-03-27,russian
10,Беньямін Нетаньягу,2023-03-27,neutral
1,Володимир Путін,2023-04-03,russian
2,Володимир Зеленський,2023-04-03,enemy
3,Владлен Татарський,2023-04-03,russian
4,Сі Цзіньпін,2023-04-03,friend
5,Дар'я Трепова,2023-04-03,russian
6,Джо Байден,2023-04-03,enemy
7,Емманюель Макрон,2023-04-03,enemy
8,Дмитро Пєсков,2023-04-03,russian
9,Ентоні Блінкен,2023-04-03,enemy
10,Дональд Трамп,2023-04-03,friend
1,Володимир Путін,2023-04-10,russian
2,Володимир Зеленський,2023-04-10,enemy
3,Джо Байден,2023-04-10,enemy
4,Дмитро Пєсков,2023-04-10,russian
5,Емманюель Макрон,2023-04-10,enemy
6,Денис Пушилін,2023-04-10,russian
7,Сергій Лавров,2023-04-10,russian
8,Сергій Шойгу,2023-04-10,russian
9,Сі Цзіньпін,2023-04-10,friend
10,Дональд Трамп,2023-04-10,friend
1,Володимир Путін,2023-04-17,russian
2,Володимир Зеленський,2023-04-17,enemy
3,Джо Байден,2023-04-17,enemy
4,Сергій Лавров,2023-04-17,russian
5,Дмитро Пєсков,2023-04-17,russian
6,Марія Захарова,2023-04-17,russian
7,Денис Пушилін,2023-04-17,russian
8,Емманюель Макрон,2023-04-17,enemy
9,Євген Пригожин,2023-04-17,russian
10,Єнс Столтенберг,2023-04-17,enemy
1,Володимир Путін,2023-04-24,russian
2,Володимир Зеленський,2023-04-24,enemy
3,Дмитро Пєсков,2023-04-24,russian
4,Джо Байден,2023-04-24,enemy
5,Сергій Лавров,2023-04-24,russian
6,Марія Захарова,2023-04-24,russian
7,Євген Пригожин,2023-04-24,russian
8,Реджеп Ердоган,2023-04-24,friend
9,Ігор Конашенков,2023-04-24,russian
10,Єнс Столтенберг,2023-04-24,enemy
1,Володимир Путін,2023-05-01,russian
2,Володимир Зеленський,2023-05-01,enemy
3,Дмитро Пєсков,2023-05-01,russian
4,Євген Пригожин,2023-05-01,russian
5,Джо Байден,2023-05-01,enemy
6,Захар Прилєпін,2023-05-01,russian
7,Володимир Рогов,2023-05-01,russian
8,Марія Захарова,2023-05-01,russian
9,Сергій Аксьонов,2023-05-01,russian
10,Сергій Лавров,2023-05-01,russian
1,Володимир Путін,2023-05-08,russian
2,Володимир Зеленський,2023-05-08,enemy
3,Дмитро Пєсков,2023-05-08,russian
4,Джо Байден,2023-05-08,enemy
5,Євген Пригожин,2023-05-08,russian
6,Реджеп Ердоган,2023-05-08,friend
7,Кемаль Киличдароглу,2023-05-08,enemy
8,Марія Захарова,2023-05-08,russian
9,Дональд Трамп,2023-05-08,friend
10,Захар Прилєпін,2023-05-08,russian
1,Володимир Зеленський,2023-05-15,enemy
2,Володимир Путін,2023-05-15,russian
3,Джо Байден,2023-05-15,enemy
4,Євген Пригожин,2023-05-15,russian
5,Дмитро Пєсков,2023-05-15,russian
6,Реджеп Ердоган,2023-05-15,friend
7,Кемаль Киличдароглу,2023-05-15,enemy
8,Емманюель Макрон,2023-05-15,enemy
9,Денис Пушилін,2023-05-15,russian
10,Марія Захарова,2023-05-15,russian
1,Володимир Путін,2023-05-22,russian
2,Володимир Зеленський,2023-05-22,enemy
3,В'ячеслав Гладков,2023-05-22,russian
4,Джо Байден,2023-05-22,enemy
5,Дмитро Пєсков,2023-05-22,russian
6,Олександр Лукашенко,2023-05-22,friend
7,Реджеп Ердоган,2023-05-22,friend
8,Євген Пригожин,2023-05-22,russian
9,Кемаль Киличдароглу,2023-05-22,enemy
10,Нікол Пашинян,2023-05-22,enemy
1,Володимир Зеленський,2023-05-29,enemy
2,Володимир Путін,2023-05-29,russian
3,В'ячеслав Гладков,2023-05-29,russian
4,Дмитро Пєсков,2023-05-29,russian
5,Джо Байден,2023-05-29,enemy
6,Реджеп Ердоган,2023-05-29,friend
7,Сергій Лавров,2023-05-29,russian
8,Євген Пригожин,2023-05-29,russian
9,Віталій Кличко,2023-05-29,enemy
10,Ігор Конашенков,2023-05-29,russian
1,Володимир Путін,2023-06-05,russian
2,Володимир Зеленський,2023-06-05,enemy
3,Дмитро Пєсков,2023-06-05,russian
4,Джо Байден,2023-06-05,enemy
5,Сергій Шойгу,2023-06-05,russian
6,Володимир Леонтьєв,2023-06-05,russian
7,Володимир Сальдо,2023-06-05,russian
8,В'ячеслав Гладков,2023-06-05,russian
9,Марія Захарова,2023-06-05,russian
10,Ігор Конашенков,2023-06-05,russian
1,Володимир Путін,2023-06-12,russian
2,Володимир Зеленський,2023-06-12,enemy
3,Джо Байден,2023-06-12,enemy
4,Дмитро Пєсков,2023-06-12,russian
5,Ентоні Блінкен,2023-06-12,enemy
6,Олександр Лукашенко,2023-06-12,friend
7,Дональд Трамп,2023-06-12,friend
8,Емманюель Макрон,2023-06-12,enemy
9,Марія Захарова,2023-06-12,russian
10,Єнс Столтенберг,2023-06-12,enemy
1,Володимир Путін,2023-06-19,russian
2,Володимир Зеленський,2023-06-19,enemy
3,Євген Пригожин,2023-06-19,russian
4,Дмитро Пєсков,2023-06-19,russian
5,Джо Байден,2023-06-19,enemy
6,Олександр Лукашенко,2023-06-19,friend
7,Ентоні Блінкен,2023-06-19,enemy
8,Сергій Шойгу,2023-06-19,russian
9,Сі Цзіньпін,2023-06-19,friend
10,Володимир Сальдо,2023-06-19,russian
1,Володимир Путін,2023-06-26,russian
2,Володимир Зеленський,2023-06-26,enemy
3,Олександр Лукашенко,2023-06-26,friend
4,Євген Пригожин,2023-06-26,russian
5,Джо Байден,2023-06-26,enemy
6,Дмитро Пєсков,2023-06-26,russian
7,Сергій Лавров,2023-06-26,russian
8,Марія Захарова,2023-06-26,russian
9,Сергій Шойгу,2023-06-26,russian
10,Емманюель Макрон,2023-06-26,enemy
1,Володимир Зеленський,2023-07-03,enemy
2,Володимир Путін,2023-07-03,russian
3,Джо Байден,2023-07-03,enemy
4,Дмитро Пєсков,2023-07-03,russian
5,Марія Захарова,2023-07-03,russian
6,Олександр Лукашенко,2023-07-03,friend
7,Єнс Столтенберг,2023-07-03,enemy
8,Реджеп Ердоган,2023-07-03,friend
9,Емманюель Макрон,2023-07-03,enemy
10,Сергій Шойгу,2023-07-03,russian
1,Володимир Зеленський,2023-07-10,enemy
2,Володимир Путін,2023-07-10,russian
3,Джо Байден,2023-07-10,enemy
4,Єнс Столтенберг,2023-07-10,enemy
5,Дмитро Пєсков,2023-07-10,russian
6,Реджеп Ердоган,2023-07-10,friend
7,Сергій Лавров,2023-07-10,russian
8,Марія Захарова,2023-07-10,russian
9,Емманюель Макрон,2023-07-10,enemy
10,Євген Пригожин,2023-07-10,russian
1,Володимир Путін,2023-07-17,russian
2,Володимир Зеленський,2023-07-17,enemy
3,Дмитро Пєсков,2023-07-17,russian
4,Джо Байден,2023-07-17,enemy
5,Сергій Аксьонов,2023-07-17,russian
6,Марія Захарова,2023-07-17,russian
7,Марат Хуснуллін,2023-07-17,russian
8,Реджеп Ердоган,2023-07-17,friend
9,Олександр Лукашенко,2023-07-17,friend
10,Ігор Конашенков,2023-07-17,russian
1,Володимир Путін,2023-07-24,russian
2,Володимир Зеленський,2023-07-24,enemy
3,Джо Байден,2023-07-24,enemy
4,Дмитро Пєсков,2023-07-24,russian
5,Сергій Шойгу,2023-07-24,russian
6,Сергій Собянін,2023-07-24,russian
7,Марія Захарова,2023-07-24,russian
8,Дональд Трамп,2023-07-24,friend
9,Сергій Аксьонов,2023-07-24,russian
10,Олександр Лукашенко,2023-07-24,friend
1,Володимир Путін,2023-07-31,russian
2,Володимир Зеленський,2023-07-31,enemy
3,Дмитро Пєсков,2023-07-31,russian
4,Джо Байден,2023-07-31,enemy
5,Дональд Трамп,2023-07-31,friend
6,Мохамед Базум,2023-07-31,neutral
7,Сергій Шойгу,2023-07-31,russian
8,Марія Захарова,2023-07-31,russian
9,Сергій Собянін,2023-07-31,russian
10,Реджеп Ердоган,2023-07-31,friend
1,Володимир Зеленський,2023-08-07,enemy
2,Володимир Путін,2023-08-07,russian
3,Джо Байден,2023-08-07,enemy
4,Мохамед Базум,2023-08-07,neutral
5,Марія Захарова,2023-08-07,russian
6,Ентоні Блінкен,2023-08-07,enemy
7,Сергій Шойгу,2023-08-07,russian
8,Дмитро Пєсков,2023-08-07,russian
9,Реджеп Ердоган,2023-08-07,friend
10,Сергій Аксьонов,2023-08-07,russian
1,Володимир Путін,2023-08-14,russian
2,Володимир Зеленський,2023-08-14,enemy
3,Джо Байден,2023-08-14,enemy
4,Сергій Шойгу,2023-08-14,russian
5,Дональд Трамп,2023-08-14,friend
6,Олександр Лукашенко,2023-08-14,friend
7,Ігор Конашенков,2023-08-14,russian
8,Марія Захарова,2023-08-14,russian
9,Мохамед Базум,2023-08-14,neutral
10,Сергій Лавров,2023-08-14,russian
1,Володимир Путін,2023-08-21,russian
2,Володимир Зеленський,2023-08-21,enemy
3,Джо Байден,2023-08-21,enemy
4,Дональд Трамп,2023-08-21,friend
5,Сергій Лавров,2023-08-21,russian
6,Євген Пригожин,2023-08-21,russian
7,Ігор Конашенков,2023-08-21,russian
8,Марія Захарова,2023-08-21,russian
9,Сиріл Рамафоса,2023-08-21,friend
10,Сергій Собянін,2023-08-21,russian
1,Володимир Путін,2023-08-28,russian
2,Володимир Зеленський,2023-08-28,enemy
3,Джо Байден,2023-08-28,enemy
4,Дмитро Пєсков,2023-08-28,russian
5,Сергій Лавров,2023-08-28,russian
6,Марія Захарова,2023-08-28,russian
7,Реджеп Ердоган,2023-08-28,friend
8,Дональд Трамп,2023-08-28,friend
9,Емманюель Макрон,2023-08-28,enemy
10,Сергій Собянін,2023-08-28,russian
1,Володимир Путін,2023-09-04,russian
2,Володимир Зеленський,2023-09-04,enemy
3,Реджеп Ердоган,2023-09-04,friend
4,Сергій Собянін,2023-09-04,russian
5,Джо Байден,2023-09-04,enemy
6,Дмитро Пєсков,2023-09-04,russian
7,Сергій Лавров,2023-09-04,russian
8,Марія Захарова,2023-09-04,russian
9,Ентоні Блінкен,2023-09-04,enemy
10,Сергій Шойгу,2023-09-04,russian
1,Володимир Путін,2023-09-11,russian
2,Кім Чен Ин,2023-09-11,friend
3,Володимир Зеленський,2023-09-11,enemy
4,Джо Байден,2023-09-11,enemy
5,Дмитро Пєсков,2023-09-11,russian
6,Сергій Собянін,2023-09-11,russian
7,Сергій Шойгу,2023-09-11,russian
8,Марія Захарова,2023-09-11,russian
9,Сергій Лавров,2023-09-11,russian
10,Андрій Воробйов,2023-09-11,russian
1,Володимир Путін,2023-09-18,russian
2,Володимир Зеленський,2023-09-18,enemy
3,Нікол Пашинян,2023-09-18,enemy
4,Джо Байден,2023-09-18,enemy
5,Ільхам Алієв,2023-09-18,friend
6,Сергій Лавров,2023-09-18,russian
7,Дмитро Пєсков,2023-09-18,russian
8,Марія Захарова,2023-09-18,russian
9,Михайло Развожаєв,2023-09-18,russian
10,Реджеп Ердоган,2023-09-18,friend
1,Володимир Путін,2023-09-25,russian
2,Володимир Зеленський,2023-09-25,enemy
3,Джо Байден,2023-09-25,enemy
4,Дмитро Пєсков,2023-09-25,russian
5,Джастін Трюдо,2023-09-25,enemy
6,Нікол Пашинян,2023-09-25,enemy
7,Рамзан Кадиров,2023-09-25,russian
8,Дональд Трамп,2023-09-25,friend
9,Ентоні Рота,2023-09-25,enemy
10,В'ячеслав Гладков,2023-09-25,russian
1,Володимир Путін,2023-10-02,russian
2,Джо Байден,2023-10-02,enemy
3,Володимир Зеленський,2023-10-02,enemy
4,Беньямін Нетаньягу,2023-10-02,neutral
5,Дмитро Пєсков,2023-10-02,russian
6,Дональд Трамп,2023-10-02,friend
7,Кевін Маккарті,2023-10-02,enemy
8,Нікол Пашинян,2023-10-02,enemy
9,Ільхам Алієв,2023-10-02,friend
10,Йоав Галант,2023-10-02,neutral
1,Володимир Путін,2023-10-09,russian
2,Беньямін Нетаньягу,2023-10-09,neutral
3,Володимир Зеленський,2023-10-09,enemy
4,Джо Байден,2023-10-09,enemy
5,Дмитро Пєсков,2023-10-09,russian
6,Йоав Галант,2023-10-09,neutral
7,Ентоні Блінкен,2023-10-09,enemy
8,Сергій Лавров,2023-10-09,russian
9,Марія Захарова,2023-10-09,russian
10,Реджеп Ердоган,2023-10-09,friend
1,Володимир Путін,2023-10-16,russian
2,Джо Байден,2023-10-16,enemy
3,Беньямін Нетаньягу,2023-10-16,neutral
4,Володимир Зеленський,2023-10-16,enemy
5,Сі Цзіньпін,2023-10-16,friend
6,Дмитро Пєсков,2023-10-16,russian
7,Ентоні Блінкен,2023-10-16,enemy
8,Сергій Лавров,2023-10-16,russian
9,Марія Захарова,2023-10-16,russian
10,Віктор Орбан,2023-10-16,friend
1,Володимир Путін,2023-10-23,russian
2,Джо Байден,2023-10-23,enemy
3,Беньямін Нетаньягу,2023-10-23,neutral
4,Дмитро Пєсков,2023-10-23,russian
5,Володимир Зеленський,2023-10-23,enemy
6,Реджеп Ердоган,2023-10-23,friend
7,Дональд Трамп,2023-10-23,friend
8,Даніель Хагарі,2023-10-23,neutral
9,Сергій Лавров,2023-10-23,russian
10,Марія Захарова,2023-10-23,russian
1,Володимир Путін,2023-10-30,russian
2,Володимир Зеленський,2023-10-30,enemy
3,Джо Байден,2023-10-30,enemy
4,Беньямін Нетаньягу,2023-10-30,neutral
5,Дмитро Пєсков,2023-10-30,russian
6,Валерій Залужний,2023-10-30,enemy
7,Сергій Меліков,2023-10-30,russian
8,Ентоні Блінкен,2023-10-30,enemy
9,Сергій Шойгу,2023-10-30,russian
10,Марія Захарова,2023-10-30,russian
1,Володимир Путін,2023-11-06,russian
2,Володимир Зеленський,2023-11-06,enemy
3,Джо Байден,2023-11-06,enemy
4,Беньямін Нетаньягу,2023-11-06,neutral
5,Валерій Залужний,2023-11-06,enemy
6,Дмитро Пєсков,2023-11-06,russian
7,Ентоні Блінкен,2023-11-06,enemy
8,Марія Захарова,2023-11-06,russian
9,Реджеп Ердоган,2023-11-06,friend
10,Дональд Трамп,2023-11-06,friend
1,Джо Байден,2023-11-13,enemy
2,Володимир Путін,2023-11-13,russian
3,Володимир Зеленський,2023-11-13,enemy
4,Сі Цзіньпін,2023-11-13,friend
5,Беньямін Нетаньягу,2023-11-13,neutral
6,Дмитро Пєсков,2023-11-13,russian
7,Дональд Трамп,2023-11-13,friend
8,Реджеп Ердоган,2023-11-13,friend
9,Валерій Залужний,2023-11-13,enemy
10,Жозеп Боррель,2023-11-13,enemy
1,Володимир Путін,2023-11-20,russian
2,Володимир Зеленський,2023-11-20,enemy
3,Дмитро Пєсков,2023-11-20,russian
4,Джо Байден,2023-11-20,enemy
5,Беньямін Нетаньягу,2023-11-20,neutral
6,Марія Захарова,2023-11-20,russian
7,Сергій Шойгу,2023-11-20,russian
8,Нікол Пашинян,2023-11-20,enemy
9,Дмитро Медведєв,2023-11-20,russian
10,Дональд Трамп,2023-11-20,friend
1,Володимир Путін,2023-11-27,russian
2,Володимир Зеленський,2023-11-27,enemy
3,Джо Байден,2023-11-27,enemy
4,Сергій Лавров,2023-11-27,russian
5,Дмитро Пєсков,2023-11-27,russian
6,Марія Захарова,2023-11-27,russian
7,Беньямін Нетаньягу,2023-11-27,neutral
8,Валерій Залужний,2023-11-27,enemy
9,Єнс Столтенберг,2023-11-27,enemy
10,Генрі Кіссінджер,2023-11-27,friend
1,Володимир Путін,2023-12-04,russian
2,Володимир Зеленський,2023-12-04,enemy
3,Джо Байден,2023-12-04,enemy
4,Дмитро Пєсков,2023-12-04,russian
5,Дональд Трамп,2023-12-04,friend
6,Ілля Кива,2023-12-04,friend
7,Валерій Залужний,2023-12-04,enemy
8,Беньямін Нетаньягу,2023-12-04,neutral
9,Ентоні Блінкен,2023-12-04,enemy
10,Джон Кірбі,2023-12-04,enemy
1,Володимир Путін,2023-12-11,russian
2,Володимир Зеленський,2023-12-11,enemy
3,Джо Байден,2023-12-11,enemy
4,Дмитро Пєсков,2023-12-11,russian
5,Віктор Орбан,2023-12-11,friend
6,Сергій Кургінян,2023-12-11,russian
7,Дональд Трамп,2023-12-11,friend
8,Дмитро Медведєв,2023-12-11,russian
9,Валерій Залужний,2023-12-11,enemy
10,Марія Захарова,2023-12-11,russian
1,Володимир Путін,2023-12-18,russian
2,Володимир Зеленський,2023-12-18,enemy
3,Джо Байден,2023-12-18,enemy
4,Дмитро Пєсков,2023-12-18,russian
5,Дональд Трамп,2023-12-18,friend
6,Сергій Шойгу,2023-12-18,russian
7,Валерій Залужний,2023-12-18,enemy
8,Александр Вучич,2023-12-18,enemy
9,Віктор Орбан,2023-12-18,friend
10,Сергій Лавров,2023-12-18,russian
1,Володимир Путін,2023-12-25,russian
2,Володимир Зеленський,2023-12-25,enemy
3,В'ячеслав Гладков,2023-12-25,russian
4,Джо Байден,2023-12-25,enemy
5,Дмитро Пєсков,2023-12-25,russian
6,Сергій Шойгу,2023-12-25,russian
7,Сергій Кургінян,2023-12-25,russian
8,Александр Вучич,2023-12-25,enemy
9,Валерій Залужний,2023-12-25,enemy
10,Сергій Лавров,2023-12-25,russian
1,Володимир Путін,2024-01-01,russian
2,В'ячеслав Гладков,2024-01-01,russian
3,Джо Байден,2024-01-01,enemy
4,Володимир Зеленський,2024-01-01,enemy
5,Дональд Трамп,2024-01-01,friend
6,Касем Сулеймані,2024-01-01,neutral
7,Ллойд Остін,2024-01-01,enemy
8,Ентоні Блінкен,2024-01-01,enemy
9,Сергій Собянін,2024-01-01,russian
10,Беньямін Нетаньягу,2024-01-01,neutral
1,Володимир Путін,2024-01-08,russian
2,Джо Байден,2024-01-08,enemy
3,Володимир Зеленський,2024-01-08,enemy
4,Ллойд Остін,2024-01-08,enemy
5,Дмитро Пєсков,2024-01-08,russian
6,Дональд Трамп,2024-01-08,friend
7,Марія Захарова,2024-01-08,russian
8,Ріші Сунак,2024-01-08,enemy
9,Данієль Нобоа,2024-01-08,enemy
10,В'ячеслав Гладков,2024-01-08,russian
1,Володимир Путін,2024-01-15,russian
2,Володимир Зеленський,2024-01-15,enemy
3,Джо Байден,2024-01-15,enemy
4,Дональд Трамп,2024-01-15,friend
5,Дмитро Пєсков,2024-01-15,russian
6,Сергій Лавров,2024-01-15,russian
7,Марія Захарова,2024-01-15,russian
8,Беньямін Нетаньягу,2024-01-15,neutral
9,Емманюель Макрон,2024-01-15,enemy
10,В'ячеслав Гладков,2024-01-15,russian
1,Володимир Путін,2024-01-22,russian
2,Володимир Зеленський,2024-01-22,enemy
3,Джо Байден,2024-01-22,enemy
4,Дональд Трамп,2024-01-22,friend
5,Дмитро Пєсков,2024-01-22,russian
6,Сергій Лавров,2024-01-22,russian
7,В'ячеслав Гладков,2024-01-22,russian
8,Олександр Лукашенко,2024-01-22,friend
9,Марія Захарова,2024-01-22,russian
10,Дмитро Медведєв,2024-01-22,russian
1,Володимир Путін,2024-01-29,russian
2,Володимир Зеленський,2024-01-29,enemy
3,Джо Байден,2024-01-29,enemy
4,Валерій Залужний,2024-01-29,enemy
5,Марія Захарова,2024-01-29,russian
6,Дмитро Пєсков,2024-01-29,russian
7,Дональд Трамп,2024-01-29,friend
8,Кирило Буданов,2024-01-29,enemy
9,В'ячеслав Володін,2024-01-29,russian
10,Віктор Орбан,2024-01-29,friend
1,Володимир Путін,2024-02-05,russian
2,Такер Карлсон,2024-02-05,friend
3,Володимир Зеленський,2024-02-05,enemy
4,Джо Байден,2024-02-05,enemy
5,Валерій Залужний,2024-02-05,enemy
6,Дмитро Пєсков,2024-02-05,russian
7,Дональд Трамп,2024-02-05,friend
8,Олександр Сирський,2024-02-05,enemy
9,Ілон Маск,2024-02-05,friend
10,Марія Захарова,2024-02-05,russian
